slot,material,amount,name,lore,command,priority,show_condition
0,COMPASS,1,&6Back to Main Menu,&7Click to return to|&7the main menu,[open] main_menu,0,""
4,CLOCK,1,&eSet Time: Day,&7Click to set the|&7server time to day,[console] time set day,0,""
5,CLOCK,1,&eSet Time: Night,&7Click to set the|&7server time to night,[console] time set night,0,""
6,SUNFLOWER,1,&eSet Weather: Clear,&7Click to set the|&7weather to clear,[console] weather clear,0,""
7,WATER_BUCKET,1,&eSet Weather: Rain,&7Click to set the|&7weather to rain,[console] weather rain,0,""
13,DIAMOND_SWORD,1,&cKill All Mobs,&7Click to kill all|&7hostile mobs,[console] kill @e[type=!player],0,""
14,GOLDEN_APPLE,1,&aHeal All Players,&7Click to heal all|&7online players,[console] effect give @a instant_health 1 10,0,""
15,FEATHER,1,&bFly Mode Toggle,&7Click to toggle|&7your fly mode,[player] fly,0,""
22,EMERALD,1,&aGive Money,&7Click to give a player|&7$1000,[console] eco give %player_name% 1000,0,""
23,BARRIER,1,&cClear Inventory,&7Click to clear|&7your inventory,[player] clear,0,""
24,ENDER_PEARL,1,&5Teleport to Spawn,&7Click to teleport|&7to the spawn point,[player] spawn,0,""
31,REDSTONE,1,&cRestart Server,&7Click to restart|&7the server|&cUse with caution!,[console] restart,0,""
40,BOOK,1,&eReload Plugins,&7Click to reload|&7all plugins,[console] reload confirm,0,""
49,BARRIER,1,&cClose Menu,&7Click to close this menu,[close],0,"" 
