slot,material,amount,name,lore,command,priority,show_condition
0,COMPASS,1,&6Back to Main Menu,&7Click to return to|&7the main menu,[open] main_menu,0,""
4,DIAMOND,5,&bDiamonds,&7Valuable gems|&7with many uses,[player] give %player_name% diamond 5,0,"%player_has_permission_spreadsheetmenu.items.diamond%"
5,EMERALD,5,&aEmeralds,&7Valuable gems|&7used for trading,[player] give %player_name% emerald 5,0,"%player_has_permission_spreadsheetmenu.items.emerald%"
6,GOLD_INGOT,10,&eGold Ingots,&7Valuable metal|&7with many uses,[player] give %player_name% gold_ingot 10,0,""
7,IRON_INGOT,10,&7Iron Ingots,&7Common metal|&7with many uses,[player] give %player_name% iron_ingot 10,0,""
12,GOLDEN_APPLE,3,&eGolden Apple,&7Provides regeneration|&7and absorption,[player] give %player_name% golden_apple 3,0,""
13,ENCHANTED_GOLDEN_APPLE,1,&bEnchanted Golden Apple,&7Provides powerful buffs|&7and protection,[player] give %player_name% enchanted_golden_apple 1,0,"%player_has_permission_spreadsheetmenu.items.special%"
14,COOKED_BEEF,16,&fSteak,&7Restores hunger|&7and saturation,[player] give %player_name% cooked_beef 16,0,""
21,DIAMOND_PICKAXE,1,&bDiamond Pickaxe,&7A durable pickaxe|&7for mining,[player] give %player_name% diamond_pickaxe 1,0,"%player_has_permission_spreadsheetmenu.items.diamond%"
22,DIAMOND_AXE,1,&bDiamond Axe,&7A durable axe|&7for chopping,[player] give %player_name% diamond_axe 1,0,"%player_has_permission_spreadsheetmenu.items.diamond%"
23,DIAMOND_SHOVEL,1,&bDiamond Shovel,&7A durable shovel|&7for digging,[player] give %player_name% diamond_shovel 1,0,"%player_has_permission_spreadsheetmenu.items.diamond%"
30,ENDER_PEARL,4,&5Ender Pearl,&7Teleport to|&7where you aim,[player] give %player_name% ender_pearl 4,0,"%player_has_permission_spreadsheetmenu.items.special%"
31,ELYTRA,1,&bElytra,&7Glide through|&7the skies,[player] give %player_name% elytra 1,0,"%player_has_permission_spreadsheetmenu.admin%"
32,FIREWORK_ROCKET,16,&cFirework Rocket,&7Boost your|&7elytra flight,[player] give %player_name% firework_rocket 16,0,""
40,NETHERITE_INGOT,2,&8Netherite Ingot,&7The strongest material|&7Extremely rare,[player] give %player_name% netherite_ingot 2,0,"%player_has_permission_spreadsheetmenu.items.netherite%"
49,BARRIER,1,&cClose Menu,&7Click to close this menu,[close],0,"" 
