slot,material,amount,name,lore,command,priority,show_condition
0,COMPASS,1,&6Back to Shop Menu,&7Click to return to|&7the shop menu,[open] shop_menu,0,""
4,DIAMOND_SWORD,1,&bDiamond Sword &7- $500,&7Click to purchase|&7a Diamond Sword,[console] eco take %player_name% 500 && give %player_name% diamond_sword 1,0,"%vault_eco_balance% >= 500"
4,DIAMOND_SWORD,1,&cDiamond Sword &7- $500,&7You cannot afford this item|&7Need: &c$500|&7Have: &c$%vault_eco_balance_formatted%,,0,"%vault_eco_balance% < 500"
5,DIAMOND_PICKAXE,1,&bDiamond Pickaxe &7- $350,&7Click to purchase|&7a Diamond Pickaxe,[console] eco take %player_name% 350 && give %player_name% diamond_pickaxe 1,0,"%vault_eco_balance% >= 350"
5,DIAMOND_PICKAXE,1,&cDiamond Pickaxe &7- $350,&7You cannot afford this item|&7Need: &c$350|&7Have: &c$%vault_eco_balance_formatted%,,0,"%vault_eco_balance% < 350"
6,GOLDEN_APPLE,5,&eGolden Apples &7- $200,&7Click to purchase|&75x Golden Apples,[console] eco take %player_name% 200 && give %player_name% golden_apple 5,0,"%vault_eco_balance% >= 200"
6,GOLDEN_APPLE,5,&cGolden Apples &7- $200,&7You cannot afford this item|&7Need: &c$200|&7Have: &c$%vault_eco_balance_formatted%,,0,"%vault_eco_balance% < 200"
7,ENDER_PEARL,4,&5Ender Pearls &7- $100,&7Click to purchase|&74x Ender Pearls,[console] eco take %player_name% 100 && give %player_name% ender_pearl 4,0,"%vault_eco_balance% >= 100"
7,ENDER_PEARL,4,&cEnder Pearls &7- $100,&7You cannot afford this item|&7Need: &c$100|&7Have: &c$%vault_eco_balance_formatted%,,0,"%vault_eco_balance% < 100"
13,DIAMOND,16,&bDiamonds &7- $800,&7Click to purchase|&716x Diamonds,[console] eco take %player_name% 800 && give %player_name% diamond 16,0,"%vault_eco_balance% >= 800"
13,DIAMOND,16,&cDiamonds &7- $800,&7You cannot afford this item|&7Need: &c$800|&7Have: &c$%vault_eco_balance_formatted%,,0,"%vault_eco_balance% < 800"
14,EMERALD,16,&aEmeralds &7- $600,&7Click to purchase|&716x Emeralds,[console] eco take %player_name% 600 && give %player_name% emerald 16,0,"%vault_eco_balance% >= 600"
14,EMERALD,16,&cEmeralds &7- $600,&7You cannot afford this item|&7Need: &c$600|&7Have: &c$%vault_eco_balance_formatted%,,0,"%vault_eco_balance% < 600"
40,PAPER,1,&fBalance: &a$%vault_eco_balance_formatted%,&7Your current balance|&7Click to refresh,[player] balance,0,""
49,BARRIER,1,&cClose Menu,&7Click to close this menu,[close],0,"" 
