slot,material,amount,name,lore,command,priority,show_condition
0,COMPASS,1,&6Back to Main Menu,&7Click to return to|&7the main menu,[open] main_menu,0,""
4,DIAMOND_SWORD,1,&bDiamond Sword,&7A powerful sword|&7made of diamond,[player] give %player_name% diamond_sword 1,0,"%player_has_permission_spreadsheetmenu.items.diamond%"
5,IRON_SWORD,1,&7Iron Sword,&7A sturdy sword|&7made of iron,[player] give %player_name% iron_sword 1,0,""
6,GOLDEN_SWORD,1,&eGolden Sword,&7A flashy sword|&7made of gold,[player] give %player_name% golden_sword 1,0,""
7,STONE_SWORD,1,&8Stone Sword,&7A basic sword|&7made of stone,[player] give %player_name% stone_sword 1,0,""
8,WOODEN_SWORD,1,&6Wooden Sword,&7A simple sword|&7made of wood,[player] give %player_name% wooden_sword 1,0,""
13,BOW,1,&fBow,&7A standard bow|&7for ranged attacks,[player] give %player_name% bow 1,0,""
14,CROSSBOW,1,&fCrossbow,&7A powerful crossbow|&7for precise shots,[player] give %player_name% crossbow 1,0,""
15,ARROW,16,&fArrows,&7Standard arrows|&7for your bow,[player] give %player_name% arrow 16,0,""
16,SPECTRAL_ARROW,8,&eSpectral Arrows,&7Arrows that highlight|&7your target,[player] give %player_name% spectral_arrow 8,0,"%player_has_permission_spreadsheetmenu.items.special%"
22,TRIDENT,1,&bTrident,&7A powerful weapon|&7from the depths,[player] give %player_name% trident 1,0,"%player_has_permission_spreadsheetmenu.items.special%"
23,SHIELD,1,&fShield,&7Protect yourself|&7from attacks,[player] give %player_name% shield 1,0,""
31,NETHERITE_SWORD,1,&5Netherite Sword,&7The ultimate sword|&7Extremely rare and powerful,[player] give %player_name% netherite_sword 1,0,"%player_has_permission_spreadsheetmenu.items.netherite%"
49,BARRIER,1,&cClose Menu,&7Click to close this menu,[close],0,"" 
